"Movie","Budget (thousands of $)","Domestic Box Office Revenue (thousands of $)","International Box Office Revenue (thousands of $)","MPAA Rating","Running time","Franchise","Original source","Genre","Production method","Type","Production companies","Production country","Languages","Distributor","Release year"
"Disaster Movie",20000,14190.9,22529.9,"PG-13 for crude and sexual content throughout, language, drug references and comic violence","87 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Lionsgate, Grosvenor Park, 3 In The Box Productions","United States","English","Lionsgate",2008
"Disney Planes",50000,90282.6,147777,"PG for some mild action and rude humor","91 minutes","Planes","Original Screenplay","Adventure","Digital Animation","Kids Fiction","DisneyToon Studios","United States","English","Walt Disney",2013
"Disney’s A Christmas Carol",190000,137855.9,177853.8,"PG for scary sequences and images","95 minutes",NA,"Remake","Drama","Digital Animation","Fantasy","ImageMovers, Walt Disney Pictures","United States","English","Walt Disney",2009
"Disturbia",20000,80819,37718.7,"PG-13 on appeal for sequences of terror and violence, and some sensuality (originally R)","97 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","DreamWorks Pictures","United States","English","Paramount Pictures",2007
"Divergent",85000,155847.895,125067.1,"PG-13 for intense violence and action, thematic elements and some sensuality","140 minutes","The Divergent Series","Fiction Book/Short Story","Adventure","Live Action","Science Fiction","Red Wagon Entertainment","United States","English","Lionsgate",2014
"Do You Believe?",2300,12985.6,1643.3,"PG-13 for thematic elements, an accident sequence and some violence","115 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Pure Flix, 10 West Studios, Believe Entertainment","United States","English","Pure Flix Entertainment",2015
"Doctor Sleep",45000,33081.712,40274.5,"R for disturbing and violent content, some bloody images, language, nudity and drug use","151 minutes","The Shining","Fiction Book/Short Story","Horror","Live Action","Contemporary Fiction","Intrepid Pictures, Vertigo Entertainment, Warner Bros.","United States","English","Warner Bros.",2019
"Doctor Strange",165000,242041.92,443712.6,"PG-13 for sci-fi violence and action throughout, and an intense crash sequence","115 minutes","Marvel Cinematic Universe","Comic/Graphic Novel","Action","Animation/Live Action","Super Hero","Marvel Studios","United States","English","Walt Disney",2016
"Dodgeball: A True Underdog Story",30000,114326.7,53465,"PG-13 for rude and sexual humor, and language.","92 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Red Hour Productions","United States","English","20th Century Fox",2004
"Dog Days",10000,6809.1,1387.1,"PG for rude and suggestive content, and for language","113 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","LD Entertainment, Liddell Entertainment","United States","English","LD Entertainment",2018
"Dolphin Tale",37000,72286.8,23781.9,"PG for some mild thematic elements","112 minutes","Dolphin Tale","Real Life Events","Drama","Live Action","Dramatization","Alcon Entertainment","United States","English","Warner Bros.",2011
"Dolphin Tale 2",36000,42024.533,15800,"PG for some mild thematic elements","107 minutes","Dolphin Tale","Original Screenplay","Drama","Live Action","Kids Fiction","Alcon Entertainment","United States","English","Warner Bros.",2014
"Domestic Disturbance",53000,45207.1,9000,"PG-13 for violence, brief sexuality and language","90 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","De Line Pictures, Jonathan D. Krane","United States","English","Paramount Pictures",2001
"Don Jon",5500,24477.7,16790.9,"R for strong graphic sexual material and dialogue throughout, nudity, language and some drug use","90 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Voltage Pictures, HitRecord Films, Ram Bergman Productions","United States","English","Relativity",2013
"Don't Be Afraid of the Dark ",25000,24046.7,15079.7,"R for violence and terror(Rating bulletin 2120, 5/12/2010)","100 minutes",NA,"Remake","Horror","Live Action","Contemporary Fiction","Miramax Films, Necropia, Gran Via","United States","English","FilmDistrict",2011
"Donald Cried",NA,61.406,NA,"Not Rated","85 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","The Orchard, Rough House Pictures, Electric Chinoland, Cardboard Productions, Franklin Avenue Films, How Follows What","United States","English","The Orchard",2017
"Donnybrook",NA,26.3,NA,"R for disturbing violent and sexual content, drug use, language, and some graphic nudity(Rating bulletin 2561 (Cert #51504), 1/16/2019)","102 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","IFC Films, Backup Films, Rumble Films ","United States","English","IFC Films",2019
"Don’t Breathe",10000,91117.875,69755.8,"R for terror, violence, disturbing content, and language including sexual references","88 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction","Screen Gems, Stage 6 Films, Ghost House Pictures","United States","English","Sony Pictures",2016
"Don’t Let Go",5000,5215.1,73.1,"R for violence, bloody images, and language.","107 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Blumhouse, Briarcliff Entertainment","United States","English","OTL Releasing",2019
"Don’t Think Twice",3000,4418,NA,"R Rated R for language and some drug use","92 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","The Film Arcade, Cold Iron Pictures, Secret Public Productions","United States","English","Film Arcade",2016
"Don’t Worry, He Won’t Get Far on Foot",NA,1441.705,1912.7,"R for language throughout, sexual content, some nudity and alcohol abuse","113 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Anonymous Content, Iconoclast Films, Amazon Studios","United States","English","Amazon Studios",2018
"Dope",7000,17931.47,684.4,"R for language, drug content, sexuality/nudity, and some violence - all involving teens","103 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Significant Productions, I Am Other Entertainment, Revolt Films","United States","English","Open Road",2015
"Double Take",24000,29823.2,NA,"PG-13 for violence and language","88 minutes",NA,"Remake","Action","Live Action","Contemporary Fiction","Touchstone Pictures, Permut Presentations, Rat Entertainment","United States","English","Walt Disney",2001
"Doubt",20000,33446.5,19744.6,"PG-13 for thematic material","104 minutes",NA,"Play","Drama","Live Action","Historical Fiction","Miramax Films, Scott Rudin Productions","United States","English","Miramax",2008
"Down for Life",3800,41.914,NA,"R for violence, pervasive language, some sexual content and drug use.","92 minutes",NA,"Factual Book/Article","Drama","Live Action","Contemporary Fiction","Suspect Entertainment, Snoopadelic Pictures, Rat Bastard Prods, Girls Club Entertainment, DRO Entertainment, 1211 Entertainment","United States","English","B.D. Fox Independent",2011
"Down in the Valley",8000,568.9,404.5,"R for violence, sexual content, language and drug use",NA,NA,"Original Screenplay","Western","Live Action","Historical Fiction",NA,"United States","English","ThinkFilm",2006
"Down to Earth",30000,64172.3,7000,"PG-13 for language, sexual humor and some drug references.",NA,NA,"Remake","Romantic Comedy","Live Action","Fantasy","Village Roadshow Productions","United States","English","Paramount Pictures",2001
"Downsizing",68000,24449.8,30013.2,"R for language including sexual references, some graphic nudity and drug use","135 minutes",NA,"Original Screenplay","Comedy","Live Action","Science Fiction","Paramount Pictures, Annapurna Pictures, Ad Hominem Enterpises","United States","English","Paramount Pictures",2017
"Dr Dolittle 2",72000,112950.7,63151,"PG for language and crude humor","87 minutes","Doctor Dolittle","Remake","Adventure","Live Action","Kids Fiction","Davis Entertainment","United States","English","20th Century Fox",2001
"Dr. Seuss' The Lorax",67500,214030.5,136946.3,"PG for brief mild language","101 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Kids Fiction","Chris Meledandri, Illumination Entertainment","United States","English","Universal",2012
"Dr. Seuss’ The Grinch",75000,272911.95,243154.7,"PG for brief rude humor","86 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Kids Fiction","Universal Pictures, Illumination Entertainment, Chris Meledandri","United States","English","Universal",2018
"Dracula Untold",70000,57291.88,164249.8,"PG-13 for intense sequences of warfare, vampire attacks, disturbing images, and some sensuality","92 minutes",NA,"Fiction Book/Short Story","Action","Live Action","Fantasy","Legendary Pictures, Relativity Media, Michael De Luca Productions","United States","English","Universal",2014
"Draft Day",25000,28842.237,1005.2,"PG-13 on appeal for brief strong language and sexual references","109 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Summit Entertainment","United States","English","Lionsgate",2014
"Dreamer: Inspired by a True Story",32000,33022.3,6476.1,"PG for brief mild language.","102 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","DreamWorks Pictures","United States","English","Dreamworks SKG",2005
"Dreamgirls",75000,103366,52342.7,"PG-13 for language, some sexuality and drug content","130 minutes",NA,"Musical or Opera","Musical","Live Action","Historical Fiction","DreamWorks Pictures, Paramount Pictures, Laurence Mark","United States","English","Paramount Pictures",2006
"Drillbit Taylor",40000,32862.104,16824.2,"PG-13 for crude sexual references throughout, strong bullying, language, drug references and partial nudity.","102 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Paramount Pictures, Apatow Productions, Roth Productions, Arnold Productions","United States","English","Paramount Pictures",2008
"Drive",15000,35060.7,46297.2,"R for strong brutal bloody violence, language and some nudity","100 minutes",NA,"Fiction Book/Short Story","Action","Live Action","Contemporary Fiction","Bold Films, OddLot Entertainment, Marc Platt Productions, Motel Movies","United States","English","FilmDistrict",2011
"Drive Angry",50000,10721.033,30321.6,"R for strong brutal violence throughout, grisly images, some graphic sexual content, nudity and pervasive language","104 minutes",NA,"Original Screenplay","Action","Live Action","Fantasy","Summit Entertainment, Millennium Films, Michael De Luca Productions, Nu Image, Saturn Films","United States","English","Summit Entertainment",2011
"Drumline",20000,56398.2,0.7,"PG-13 for innuendo and language","118 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Fox 2000 Pictures","United States","English","20th Century Fox",2002
"Duck Butter",NA,6.9,NA,"Not Rated","93 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Netflix, The Orchard, Duplass Brothers","United States","English","The Orchard",2018
"Dude, Where's My Car?",13000,46729.4,26450.9,"PG-13 for language and some sex and drug-related humor","82 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","20th Century Fox",2000
"Due Date",65000,100539.043,111200,"R for language drug use and sexual content(Rating bulletin 2131, 7/7/2010)","95 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Legendary Pictures, Green Hat Films","United States","English","Warner Bros.",2010
"Dumb and Dumber To",40000,87808.01,70345.6,"PG-13 for crude and sexual humor, partial nudity, language and some drug references","110 minutes","Dumb and Dumber","Original Screenplay","Comedy","Live Action","Contemporary Fiction","Conundrum Entertainment, Charles B. Wessler Entertainment","United States","English","Universal",2014
"Dumb and Dumberer: When Harry Met Lloyd",30000,26214.8,2771.5,"PG-13 for crude sex-related humor, and for language.","85 minutes","Dumb and Dumber","Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","New Line",2003
"Dumbo",170000,117366.307,238400,"PG for peril/action, some thematic elements, and brief mild language(Rating bulletin 2561 (Cert #51988), 1/16/2019)","130 minutes","Dumbo","Remake","Adventure","Animation/Live Action","Kids Fiction","Walt Disney Pictures, Tim Burton, Infinite Detective, Secret Machine Entertainment","United States","English","Walt Disney",2019
"Dumbstruck",NA,15.4,NA,"PG for brief suggestive humor","90 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Figures of Speech, Room 9 Entertainment","United States","English","Truly Indie",2011
"Duplex",40000,9652,418.7,"PG-13 for sexual content, language and some violence","88 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Red Hour Productions, Flower Films","United States","English","Miramax",2003
"Duplicity",60000,40572.8,40506.7,"PG-13 for language and some sexual content","125 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Universal Pictures, Relativity Media","United States","English","Universal",2009
"Dylan Dog: Dead of Night",20000,1186.538,4907.2,"PG-13 for sequences of creature violence and action, language including some sexual references, and some drug material","107 minutes",NA,"Comic/Graphic Novel","Horror","Live Action","Fantasy","Hyde Park Entertainment, Platinum Studios, Omnilab Media Group","United States","English","Omin/Freestyle",2011
"Déjà Vu",80000,64038.6,117000,"PG-13 for intense sequences of violence and terror, disturbing images and some sensuality","126 minutes",NA,"Original Screenplay","Thriller","Live Action","Science Fiction","Touchstone Pictures, Jerry Bruckheimer, Scott Free Films","United States","English","Walt Disney",2006
"ECCO",NA,86.9,NA,"R for violence including bloody images, language, and some sexuality/nudity.","123 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","Citadel Canadian Films, Good Kingdom Group","United States","English","Citadel",2019
"ET: The Extra-Terrestrial",10500,435110.6,357852.4,"PGPG for language and mild thematic elements. (2002 edited version re-release.)","114 minutes",NA,"Original Screenplay","Drama","Live Action","Science Fiction","Universal Pictures","United States","English","Universal",1982
"Eagle Eye",80000,101440.743,79144.5,"PG-13 for intense sequences of action and violence, and for language.","117 minutes",NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction","DreamWorks Pictures, K/O Productions","United States","English","Paramount Pictures",2008
"Earth to Echo",13000,38934.842,3239.7,"PG for some action and peril, and mild language","89 minutes",NA,"Original Screenplay","Adventure","Animation/Live Action","Kids Fiction","Panay Films","United States","English","Relativity",2014
"Easy A",8000,58401.5,17799.3,"PG-13 for mature thematic elements involving teen sexuality, language and some drug material","92 minutes",NA,"Fiction Book/Short Story","Comedy","Live Action","Contemporary Fiction","Olive Bridge Entertainment","United States","English","Sony Pictures",2010
"Eat Pray Love",60000,80574,126024.8,"PG-13 for brief strong language, some sexual references and male rear nudity(Rating bulletin 2124, 6/9/2010)","134 minutes",NA,"Factual Book/Article","Drama","Live Action","Contemporary Fiction","Plan B Entertainment, Columbia Pictures","United States","English","Sony Pictures",2010
"Echo in the Canyon",NA,3355.3,NA,"PG-13 for drug references and some suggestive content","82 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Greenwich Entertainment, Mirror Films   , BMG Brokers, Slaterhouse Five","United States","English","Greenwich",2019
"Edge of Tomorrow",178000,102006.256,266822.7,"PG-13 for intense sequences of sci-fi action and violence, language and brief suggestive material","136 minutes",NA,"Comic/Graphic Novel","Action","Live Action","Science Fiction","Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment","United States","English","Warner Bros.",2014
"Eight Below",40000,81612.6,38843.4,"PG for some peril and brief mild language.","120 minutes",NA,"Remake","Adventure","Live Action","Contemporary Fiction","Walt Disney Pictures, Spyglass Entertainment, Mandeville Films","United States","English","Walt Disney",2006
"Eight Crazy Nights",NA,23607.2,NA,"PG-13 for frequent crude and sexual humor, drinking and brief drug references","71 minutes",NA,"Original Screenplay","Musical","Hand Animation","Kids Fiction","Happy Madison","United States","English","Sony Pictures",2002
"Eighth Grade",2000,13539.71,808.3,"R for language and some sexual material","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","A24","United States","English","A24",2018
"Elektra",65000,24409.7,32414.9,"PG-13 for action violence.","97 minutes",NA,"Spin-Off","Action","Live Action","Super Hero","Regency Enterprises, Twentieth Century Fox, Marvel Studios, New Regency, Horseshoe Bay","United States","English","20th Century Fox",2005
"Elf",32000,174626.8,46837.9,"PG for some mild rude humor and language.","97 minutes","Elf","Original Screenplay","Comedy","Live Action","Kids Fiction","Guy Walks Into a Bar","United States","English","New Line",2003
"Elizabethtown",54000,26850.4,23868.9,"PG-13 for language and some sexual references.","123 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Paramount Pictures",2005
"Elvis & Nixon",NA,1055.3,711.4,"R for some language","86 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Jellyfish Bloom, Autumn Productions, Elevated, Holly Wiersma, Johnny Mac, David Hansen, Benaroya Pictures","United States","English","Bleecker Street & Amazon Studios",2016
"Elvis on Tour",NA,587.818,NA,"G","93 minutes",NA,"Real Life Events","Performance","Live Action","Factual",NA,"United States","English","Warner Bros.",1972
"Elysium",120000,93050.1,193142,"R for strong bloody violence
and language throughout","109 minutes",NA,"Original Screenplay","Action","Live Action","Science Fiction","Tri-Star Pictures, Media Rights Capital, QED International, Alphacore, Kinberg Genre","United States","English","Sony Pictures",2013
"Employee of the Month",10000,28444.9,9920,"PG-13 for crude and sexual humor, and language.","108 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Tapestry Films","United States","English","Lionsgate",2006
"Enchanted",85000,127706.9,212677.3,"PG for some scary images and mild innuendo","108 minutes",NA,"Original Screenplay","Romantic Comedy","Animation/Live Action","Fantasy","Walt Disney Pictures, Barry Sonnenfeld, Josephson Entertainment","United States","English","Walt Disney",2007
"Encounters at the End of the World",NA,944.9,307.7,"G","99 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","ThinkFilm",2008
"End of Days",100000,66889,145137.9,"R for intense violence and gore, a strong sex scene and language",NA,NA,"Original Screenplay","Action","Live Action","Fantasy",NA,"United States","English","Universal",1999
"Ender's Game",110000,61737.2,66246.1,"PG-13 for some violence, sci-fi action and thematic material","114 minutes",NA,"Fiction Book/Short Story","Adventure","Live Action","Science Fiction","Summit Entertainment, OddLot Entertainment, Chartoff Productions, Inc., Taleswapper, K/O Paper Products, Digital Domain","United States","English","Lionsgate",2013
"Endless Love",20000,23438.25,11279.9,"PG-13 for sexual content, brief partial nudity, some language and teen partying","105 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Bluegrass Films, Fake Empire","United States","English","Universal",2014
"Enough Said",8000,17550.9,8070.6,"PG-13 for sexual content, some thematic material and brief language","93 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Likely Story, TSG Entertainment","United States","English","Fox Searchlight",2013
"Enron: The Smartest Guys in the Room",NA,4071.7,836.1,"Not Rated",NA,NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Magnolia Pictures",2005
"Entourage",30000,34363.404,14075.1,"R for pervasive language, strong sexual content, nudity and some drug use","104 minutes",NA,"TV","Comedy","Live Action","Contemporary Fiction","Closest to the Hole, Leverage","United States","English","Warner Bros.",2015
"Envy",20000,13548.3,1017.9,"PG-13 for language and sexual/crude humor","99 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Castle Rock Entertainment, DreamWorks Pictures, Village Roadshow Productions","United States","English","Dreamworks SKG",2004
"Epic",100000,107518.7,155275.8,"PG for mild action, some scary images and brief rude language","103 minutes",NA,"Fiction Book/Short Story","Adventure","Digital Animation","Kids Fiction","Blue Sky Studios","United States","English","20th Century Fox",2013
"Erin Brockovich",50000,125548.7,132256.6,"R for language","130 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Jersey Films, Universal Pictures, Columbia Pictures","United States","English","Universal",2000
"Escape Fire: The Fight to Rescue American Healthcare",NA,126.2,NA,"PG-13 for some thematic material","99 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Aisle C Productions, Our Time Projects","United States","English","Roadside Attractions",2012
"Escape From Planet Earth",40000,57013,17143.6,"PG for action and some mild crude humor","89 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction","Weinstein Company, CRF Productions, Rainmaker Entertainment","United States","English","Weinstein Co.",2013
"Escape Room",9000,59262.655,98312.3,"PG-13 for terror/perilous action, violence, some suggestive material and language","109 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction","Original Film, Columbia Pictures","United States","English","Sony Pictures",2019
"Eternal Sunshine of the Spotless Mind",20000,34366.5,38034.9,"R for language, some drug and sexual content","108 minutes",NA,"Fiction Book/Short Story","Comedy","Live Action","Fantasy","Anonymous Content, This is That","United States","English","Focus Features",2004
"Evan Almighty",175000,100289.7,73841.6,"PG for milde rude humor and some peril","96 minutes","Bruce Almighty","Original Screenplay","Comedy","Live Action","Fantasy","Relativity Media, Spyglass Entertainment","United States","English","Universal",2007
"Evening",30000,12406.6,478.9,"PG-13 for some thematic elements, sexual material, a brief accident scene and language.","117 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction",NA,"United States","English","Focus Features",2007
"Everly",NA,1.8,380.9,"R for strong bloody violence, torture, nudity, sexual images and language","93 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Crime Scene Pictures, Anonymous Content","United States","English","RADiUS-TWC",2015
"Every Day (2011)",NA,46,NA,"R for language, sexual content and some drug use","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Cold Iron Pictures, Ambush Entertainment","United States","English","Image Entertainment, Orion Pictures",2011
"Every Day (2018)",4900,6112.914,6713.1,"PG-13 for thematic content, language, teen drinking, and suggestive material","95 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Likely Story, Filmwave, Orion Pictures, Silver Reel Entertainment","United States","English","Image Entertainment, Orion Pictures",2018
"Every Little Step",NA,1725.1,1044.6,"PG-13 for some strong language including sexual references.","96 minutes",NA,"Real Life Events","Documentary","Live Action","Factual",NA,"United States","English","Sony Pictures Classics",2009
"Everybody Wants Some",10000,3400.3,2036.8,"R for language throughout, sexual content, drug use and some nudity","116 minutes",NA,"Original Screenplay","Comedy","Live Action","Historical Fiction","Paramount Pictures, Annapurna Pictures, Detour Filmproduction","United States","English","Paramount Pictures",2016
"Everybody Wants to Be Italian",3000,351.4,NA,"R for some sexual references.","105 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction",NA,"United States","English","Roadside Attractions",2008
"Everybody's Fine",20000,9208.9,NA,"PG-13 for thematic elements and brief strong language","100 minutes",NA,"Remake","Drama","Live Action","Contemporary Fiction","Miramax Films, Radar Pictures, Hollywood Gang","United States","English","Miramax",2009
"Everybody’s Everything",NA,547.2,201.3,"Not Rated","116 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","First Access Entertainment, Beamer Boy","United States","English","Gunpowder & Sky",2019
"Everyone's Hero",NA,14523.1,2477.3,"G","87 minutes",NA,"Original Screenplay","Adventure","Digital Animation","Kids Fiction",NA,"United States","English","20th Century Fox",2006
"Everything, Everything",10000,34646.14,27482,"PG-13 for thematic elements and brief sensuality","96 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Contemporary Fiction","Metro-Goldwyn-Mayer Pictures, Alloy Entertainment","United States","English","Warner Bros.",2017
"Evidence of a Haunting",NA,71.8,NA,"Not Rated",NA,NA,"Original Screenplay","Horror","Live Action","Fantasy",NA,"United States","English","Nocturnal Features",2011
"Evil Dead",17000,54239.9,44802.1,"R for strong bloody violence and gore, some sexual content and language","91 minutes","Evil Dead","Remake","Horror","Live Action","Fantasy","Tri-Star Pictures, FilmDistrict, Ghost House Pictures","United States","English","Sony Pictures",2013
"Evil Intent",NA,10.3,NA,"Not Rated",NA,NA,"Original Screenplay","Thriller","Live Action","Contemporary Fiction",NA,"United States","English","",2013
"Evolution",80000,38311.1,60030.8,"PG-13 for crude and sexual humor, and for sci-fi action.","101 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","DreamWorks Pictures","United States","English","Dreamworks SKG",2001
"Exists",NA,3.65,43.4,"R for language throughout, some violence, sexual content and drug use","86 minutes",NA,"Original Screenplay","Horror","Live Action","Contemporary Fiction","Lionsgate, Court Five, Haxan Films","United States","English","Lionsgate",2014
"Exit Wounds",33000,51758.6,28200,"R for strong violence, language and some sexuality/nudity.","135 minutes",NA,"Fiction Book/Short Story","Action","Live Action","Contemporary Fiction","Village Roadshow Productions, Silver Pictures","United States","English","Warner Bros.",2001
"Exodus: Gods and Kings",140000,66188.138,203300,"PG-13 for violence including battle sequences and intense images","150 minutes",NA,"Religious Text","Drama","Live Action","Historical Fiction","Chernin Entertainment, Scott Free Films","United States","English","20th Century Fox",2014
"Expelled: No Intelligence Allowed",NA,7720.5,NA,"PG for thematic material, some disturbing images, brief smoking.","97 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Premise Media Corporation, Rampant Entertainment","United States","English","Rocky Mountain Pictures",2008
"Extract",7500,10823.2,26,"R for language, sexual references and some drug use.","92 minutes",NA,"Original Screenplay","Comedy","Live Action","Contemporary Fiction","Miramax Films, Ternion Entertainment, F+A Productions, 3 Arts Entertainment","United States","English","Miramax",2009
"Extraordinary Measures",31000,12482.741,3344.2,"PG For thematic material, language and a mild suggestive moment","106 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Double Feature Films","United States","English","CBS Films",2010
"Extremely Loud and Incredibly Close",40000,31847.9,23400,"PG-13 for emotional thematic material, some disturbing images, and language","129 minutes",NA,"Fiction Book/Short Story","Drama","Live Action","Historical Fiction","Warner Bros., Scott Rudin Productions","United States","English","Warner Bros.",2011
"Facing the Giants",100,10178.3,64.8,"PG for some thematic elements.",NA,NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction",NA,"United States","English","IDP/Goldwyn/Roadside",2006
"Factotum",NA,808.2,2362.8,"R for language and sexual content",NA,NA,"Fiction Book/Short Story","Drama","Live Action",NA,NA,"United States","English","IFC Films",2006
"Fahrenheit 11/9",5000,6352.3,301.4,"R for language and some disturbing material/images","128 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","State Run Films, Briarcliff Entertainment, Dog Eat Dog","United States","English","Briarcliffe Entertainment",2018
"Fahrenheit 9/11",6000,119114.5,102034.4,"R for violence, disturbing images and language","121 minutes",NA,"Real Life Events","Documentary","Live Action","Factual","Dog Eat Dog, Wild Bunch, Jim Czarnecki","United States","English","Lionsgate",2004
"Failure to Launch",50000,88715.2,39687.7,"PG-13 for sexual content, partial nudity and language.","97 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Scott Rudin Productions, Aversano Films, Paramount Pictures","United States","English","Paramount Pictures",2006
"Fair*Game",NA,9540.7,12252.2,"PG-13 for some language(Rating bulletin 2117, 4/21/2010)","105 minutes",NA,"Real Life Events","Drama","Live Action","Dramatization","Hypnotic, Weed Road Pictures, Zucker Pictures, River Road Entertainment, Image Nation Abu Dhabi, Participant Media","United States","English","Summit Entertainment",2010
"Faith of Our Fathers",NA,1004.1,NA,"PG-13 for brief war violence","93 minutes",NA,"Original Screenplay","Drama","Live Action","Contemporary Fiction","Downes Brothers Productions, Pure Flix, Oak Water Films","United States","English","Pure Flix / Samuel Goldwyn Films",2015
"Faith, Hope & Love",NA,210,NA,"PG for some thematic elements","105 minutes",NA,"Original Screenplay","Romantic Comedy","Live Action","Contemporary Fiction","Ellinas Multimedia","United States","English","ArtAffects",2019
"Falcon Rising",4500,11.8,NA,"R for violence throughout, and some sexual references/content","103 minutes",NA,"Original Screenplay","Action","Live Action","Contemporary Fiction","Moonstone Entertainment","United States","English","Freestyle Releasing",2014
"Fame",18000,22455.5,57772.1,"PG for thematic material including teen drinking, a sexual situation and language","107 minutes",NA,"Remake","Musical","Live Action","Contemporary Fiction","Lakeshore Entertainment","United States","English","MGM",2009
"Fanboys",NA,687.6,386.1,"PG-13 for pervasive crude and sexual material, language and drug content","90 minutes",NA,"Original Screenplay","Comedy","Live Action","Historical Fiction","Trigger Street Productions, Coalition Film","United States","English","Weinstein Co.",2009
"Fantastic Beasts and Where to Find Them",180000,234037.6,577686.8,"PG-13 for some fantasy action violence","133 minutes","Harry PotterFantastic Beasts and Where to Find Them","Spin-Off","Adventure","Animation/Live Action","Fantasy","Warner Bros., Heyday Films","United States","English","Warner Bros.",2016
"Fantastic Four (2005)",87500,154696.1,178436.7,"PG-13 for sequences of intense action, and some suggestive content.","106 minutes","Fantastic Four","Comic/Graphic Novel","Action","Live Action","Super Hero","20th Century Fox, Constantin Film, Marvel Studios, 1492 Pictures, Bernd Eichinger","United States","English","20th Century Fox",2005
"Fantastic Four (2015)",120000,58751.712,111731.6,"PG-13 for sci-fi action violence, and language","100 minutes","Fantastic Four","Comic/Graphic Novel","Action","Live Action","Super Hero","MARV Films, Kinberg Genre, Robert Kulzer, Constantin Film, Marvel Studios","United States","English","20th Century Fox",2015
